product_id,product_name,category,price
1,Product_1,,80.73
2,Product_2,Clothing,237.37
3,Product_3,Books,347.0
4,Product_4,Sports,400.65
5,Product_5,Sports,249.2
6,Product_6,Home,86.79
7,Product_7,,210.27
8,Product_8,Electronics,394.22
9,Product_9,Home,209.37
10,Product_10,Electronics,349.78
11,Product_11,,256.07
12,Product_12,Home,124.41
13,Product_13,Home,399.09
14,Product_14,Sports,46.69
15,Product_15,Electronics,264.82
16,Product_16,Clothing,108.4
17,Product_17,Clothing,38.2
18,Product_18,Home,253.95
19,Product_19,,252.28
20,Product_20,Home,354.92
21,Product_21,Sports,373.65
22,Product_22,Electronics,365.26
23,Product_23,Home,207.73
24,Product_24,,317.69
25,Product_25,Clothing,290.59
26,Product_26,Electronics,213.67
27,Product_27,Home,300.62
28,Product_28,Electronics,473.89
29,Product_29,Sports,100.48
30,Product_30,Clothing,453.36
31,Product_31,,31.46
32,Product_32,Electronics,157.65
33,Product_33,Clothing,147.63
34,Product_34,Home,315.05
35,Product_35,,69.96
36,Product_36,,441.76
37,Product_37,Books,415.13
38,Product_38,Electronics,327.77
39,Product_39,Clothing,231.91
40,Product_40,Electronics,466.81
41,Product_41,Home,416.22
42,Product_42,Home,252.16
43,Product_43,,352.43
44,Product_44,,285.63
45,Product_45,Clothing,296.03
46,Product_46,Sports,168.83
47,Product_47,Electronics,233.73
48,Product_48,Electronics,43.67
49,Product_49,Home,181.89
50,Product_50,Electronics,349.44
51,Product_51,Clothing,476.84
52,Product_52,Books,481.72
53,Product_53,,280.08
54,Product_54,Home,305.28
55,Product_55,,96.93
56,Product_56,,349.18
57,Product_57,,39.98
58,Product_58,Books,145.92
59,Product_59,Electronics,335.84
60,Product_60,Sports,158.6
61,Product_61,,29.67
62,Product_62,Clothing,416.78
63,Product_63,,158.61
64,Product_64,,36.24
65,Product_65,Electronics,42.02
66,Product_66,Clothing,129.62
67,Product_67,Electronics,93.12
68,Product_68,,388.28
69,Product_69,Electronics,164.23
70,Product_70,Electronics,403.32
71,Product_71,Home,91.05
72,Product_72,Books,248.98
73,Product_73,Sports,345.58
74,Product_74,Books,327.74
75,Product_75,Books,302.56
76,Product_76,Clothing,462.79
77,Product_77,Home,118.12
78,Product_78,Home,249.39
79,Product_79,Electronics,442.58
80,Product_80,Books,43.56
81,Product_81,Sports,32.66
82,Product_82,Clothing,120.48
83,Product_83,Home,318.35
84,Product_84,Electronics,133.64
85,Product_85,Sports,99.17
86,Product_86,Books,232.11
87,Product_87,Sports,308.73
88,Product_88,Home,128.04
89,Product_89,Clothing,153.84
90,Product_90,Books,308.71
91,Product_91,Clothing,473.14
92,Product_92,,339.0
93,Product_93,Sports,392.54
94,Product_94,Sports,186.57
95,Product_95,Electronics,139.77
96,Product_96,Books,229.86
97,Product_97,Sports,404.53
98,Product_98,Home,230.87
99,Product_99,,424.13
100,Product_100,Home,494.44
