customer_id,customer_name,country,signup_date,is_active
1,Customer_1,India,2024-02-17,0
2,Customer_2,,2022-05-08,0
3,Customer_3,UAE,2024-03-11,0
4,Customer_4,India,2023-06-01,1
5,Customer_5,Pakistan,2022-06-20,1
6,Customer_6,Pakistan,2022-09-25,1
7,Customer_7,Pakistan,2023-09-24,0
8,Customer_8,USA,2024-04-27,1
9,Customer_9,UAE,2024-01-25,1
10,Customer_10,UAE,2024-06-07,1
11,Customer_11,Pakistan,2022-08-06,1
12,Customer_12,,2023-06-10,1
13,Customer_13,UK,2022-05-28,
14,Customer_14,Pakistan,2022-11-13,0
15,Customer_15,Pakistan,2024-05-07,1
16,Customer_16,Pakistan,2023-07-08,0
17,Customer_17,Pakistan,2023-12-10,0
18,Customer_18,India,2023-12-23,0
19,Customer_19,India,2022-07-06,0
20,Customer_20,Pakistan,2024-02-10,0
21,Customer_21,UAE,2022-01-09,0
22,Customer_22,Pakistan,2022-12-11,0
23,Customer_23,Pakistan,2022-01-04,
24,Customer_24,India,2022-04-27,0
25,Customer_25,India,2023-03-16,1
26,Customer_26,UK,2023-06-09,0
27,Customer_27,Pakistan,2023-11-18,
28,Customer_28,India,2022-03-03,1
29,Customer_29,India,2023-03-23,1
30,Customer_30,Pakistan,2022-06-01,1
31,Customer_31,UAE,2022-08-17,0
32,Customer_32,Pakistan,2022-09-22,
33,Customer_33,Pakistan,2023-03-04,1
34,Customer_34,USA,2022-05-17,1
35,Customer_35,,2023-03-10,1
36,Customer_36,UK,2023-04-06,0
37,Customer_37,Pakistan,2024-04-30,1
38,Customer_38,Pakistan,2023-07-31,0
39,Customer_39,UAE,2022-07-01,1
40,Customer_40,India,2023-07-30,0
41,Customer_41,Pakistan,2023-05-10,
42,Customer_42,India,2022-08-08,0
43,Customer_43,Pakistan,2022-01-17,0
44,Customer_44,USA,2022-06-30,1
45,Customer_45,Pakistan,2023-03-25,1
46,Customer_46,UAE,2024-04-15,1
47,Customer_47,Pakistan,2023-06-18,0
48,Customer_48,India,2023-10-30,0
49,Customer_49,India,2023-08-25,1
50,Customer_50,Pakistan,2024-02-01,
51,Customer_51,,2023-06-16,1
52,Customer_52,UK,2024-04-12,1
53,Customer_53,USA,2023-08-23,
54,Customer_54,USA,2022-02-16,0
55,Customer_55,India,2024-01-09,1
56,Customer_56,USA,2022-02-13,1
57,Customer_57,Pakistan,2023-09-25,0
58,Customer_58,Pakistan,2022-12-28,1
59,Customer_59,Pakistan,2022-03-29,1
60,Customer_60,Pakistan,2022-02-03,0
61,Customer_61,India,2022-10-10,0
62,Customer_62,Pakistan,2022-10-09,0
63,Customer_63,UK,2023-05-21,1
64,Customer_64,India,2023-07-30,0
65,Customer_65,Pakistan,2023-09-18,0
66,Customer_66,India,2023-02-01,1
67,Customer_67,Pakistan,2022-05-17,1
68,Customer_68,UK,2023-05-09,1
69,Customer_69,Pakistan,2023-11-07,1
70,Customer_70,,2023-12-10,1
71,Customer_71,UK,2022-02-09,
72,Customer_72,Pakistan,2022-04-18,1
73,Customer_73,Pakistan,2022-09-21,1
74,Customer_74,UK,2022-01-09,0
75,Customer_75,UAE,2022-03-06,
76,Customer_76,UAE,2024-05-08,0
77,Customer_77,UK,2022-10-02,0
78,Customer_78,Pakistan,2022-12-26,0
79,Customer_79,India,2023-02-10,0
80,Customer_80,Pakistan,2023-11-13,
81,Customer_81,USA,2022-01-21,1
82,Customer_82,UAE,2022-06-19,1
83,Customer_83,Pakistan,2023-10-12,1
84,Customer_84,Pakistan,2023-03-03,1
85,Customer_85,Pakistan,2023-07-17,0
86,Customer_86,Pakistan,2022-11-30,1
87,Customer_87,UAE,2024-06-04,1
88,Customer_88,UAE,2022-11-26,0
89,Customer_89,USA,2022-07-24,1
90,Customer_90,India,2022-07-04,0
91,Customer_91,Pakistan,2022-10-01,0
92,Customer_92,UAE,2024-01-23,0
93,Customer_93,UK,2022-03-20,0
94,Customer_94,India,2023-06-14,1
95,Customer_95,UK,2023-03-09,1
